english,transliteration,arabic,audioUrl,source
What’s in your hand?,šū fī b-īdak?,شو في بْإيدك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-181.mp3,the_human_body_and_describing_people_2
They’re all wearing watches on their wrists.,kíllun lēbsīn sē3ēt b-īdayun.,كِلُّن لابْسين ساعات بْإيديُن.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-182.mp3,the_human_body_and_describing_people_2
elbow,kū3,كوع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-183.mp3,the_human_body_and_describing_people_2
armpit,bāʈ,باط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-184.mp3,the_human_body_and_describing_people_2
to sweat,"3íriʔ, yí3raʔ",عِرِق، يِعْرق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-185.mp3,the_human_body_and_describing_people_2
sweaty,3arʔān,عرْقان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-186.mp3,the_human_body_and_describing_people_2
He was very sweaty after playing soccer.,ktīr kēn 3arʔān ba3d ilgōl.,كْتير كان عرْقان بعْد الغوْل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-187.mp3,the_human_body_and_describing_people_2
finger,úʂba3 (aʂābī3),أُصْبع (أصابيع),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-188.mp3,the_human_body_and_describing_people_2
finger print,báʂmi,بصْمِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-189.mp3,the_human_body_and_describing_people_2
thumb,ákbar úʂba3,أكْبر أُصْبع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-190.mp3,the_human_body_and_describing_people_2
index finger,tēni úʂba3,تاني أُصْبع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-191.mp3,the_human_body_and_describing_people_2
middle finger,úʂba3 ilwásaʈ,أُصْبع الوَسط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-192.mp3,the_human_body_and_describing_people_2
ring finger,úʂba3 ilxātim,أُصْبع الخاتِم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-193.mp3,the_human_body_and_describing_people_2
"little finger, pinky",xúnʂur,خُنْصُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-194.mp3,the_human_body_and_describing_people_2
finger nail,ɖúfir,ضُفِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-195.mp3,the_human_body_and_describing_people_2
palm,kaff,كفّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-196.mp3,the_human_body_and_describing_people_2
back of the hand,ɖáhir ilkaff,ضهِر الكفّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-197.mp3,the_human_body_and_describing_people_2
ball of the hand,báʈun ilkaff,بطُن الكفّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-198.mp3,the_human_body_and_describing_people_2
joint; knuckles; wrist,máfʂal,مفْصل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-199.mp3,the_human_body_and_describing_people_2
to make a fist,3ímil [55] īdu bōks,عِمِل إيدو بوْكْس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-200.mp3,the_human_body_and_describing_people_2
to extend one’s fingers,"madd aʂābī3u, ymidd aʂābī3u",مدّ أصابيعو، يْمِدّ أصابيعو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-201.mp3,the_human_body_and_describing_people_2
"to hold, grip","másak, yímsuk",مسك، يِمْسُك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-202.mp3,the_human_body_and_describing_people_2
to point to,"dall 3a, ydill 3a",دلّ ع، يْدِلّ ع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-203.mp3,the_human_body_and_describing_people_2
He pointed at the clock.,dall 3a-ssē3a.,دلّ عالسّاعة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-204.mp3,the_human_body_and_describing_people_2
"leg, foot",íjir (jrayyēt) [f.],إجِر (جْريّات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-205.mp3,the_human_body_and_describing_people_2
thigh,fxād,فْخاد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-206.mp3,the_human_body_and_describing_people_2
shin,ʔáʂbit íjir,قصْبِة إجِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-207.mp3,the_human_body_and_describing_people_2
calf,báʈʈit íjir,بطِّة إجِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-208.mp3,the_human_body_and_describing_people_2
knee,ríkbi (ríkab),رِكْبِة (رِكب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-209.mp3,the_human_body_and_describing_people_2
ankle,kēɧil (kɧūl),كاحِل (كْحول),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-210.mp3,the_human_body_and_describing_people_2
sole,bāʈin íjir,باطِن إجِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-211.mp3,the_human_body_and_describing_people_2
heel,ká3ib (k3ūb),كعِب (كْعوب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-212.mp3,the_human_body_and_describing_people_2
toe,úʂba3 íjir,أُصْبع إجِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-213.mp3,the_human_body_and_describing_people_2
shoulder,kítif (ktēf),كِتِف (كْتاف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-214.mp3,the_human_body_and_describing_people_2
broad shoulders,ktēf 3rāɖ,كْتاف عْراض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-215.mp3,the_human_body_and_describing_people_2
"chest, bosom",ʂúdir (ʂdūr),صُدِر (صْدور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-216.mp3,the_human_body_and_describing_people_2
flat chested,ʂúdir msáʈʈaɧ,صُدِر مْسطّح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-217.mp3,the_human_body_and_describing_people_2
"abdomen, belly",báʈin (bʈūn),بطِن (بْطون),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-218.mp3,the_human_body_and_describing_people_2
back,ɖáhir (ɖhūr),ضهِر (ضْهور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-219.mp3,the_human_body_and_describing_people_2
"waist, hips",xásir (xsūr),خسِر (خْسور),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-220.mp3,the_human_body_and_describing_people_2
"navel, belly button",ʂírra,صِرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-221.mp3,the_human_body_and_describing_people_2
internal organs,l3úɖu ddēxili (lʔa3ɖāʔ ildēxilíyyi),العُضو الدّاخِلي (الأعْضاء الدّاخِلية),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-222.mp3,the_human_body_and_describing_people_2
stomach,mí3di (mí3ad),مِعْدِة (مِعد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-223.mp3,the_human_body_and_describing_people_2
"intestines, bowels",muʂrān (mʂārīn),مُصْران (مْصارين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-224.mp3,the_human_body_and_describing_people_2
lung,ríʔa (riyēt),رِئة (رِيات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-225.mp3,the_human_body_and_describing_people_2
heart,ʔálib (ʔlūb),قلِب (قْلوب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-226.mp3,the_human_body_and_describing_people_2
"to beat, palpitate","daʔʔ, ydiʔʔ",دقّ، يْدِقّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-227.mp3,the_human_body_and_describing_people_2
"to beat, palpitate","nábaɖ, yínbuɖ",نبض، يِنْبُض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-228.mp3,the_human_body_and_describing_people_2
"heart beat, pulse",dáʔʔit ilʔálib,دقِّة القلِب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-229.mp3,the_human_body_and_describing_people_2
liver,kíbid (akbēd),كِبِد (أكْباد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-230.mp3,the_human_body_and_describing_people_2
kidney,kílyi (kalāwi),كِلْية (كلاوي),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-231.mp3,the_human_body_and_describing_people_2
bladder,mabūli,مبولِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-232.mp3,the_human_body_and_describing_people_2
gall-bladder,mrāra,مْرارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-233.mp3,the_human_body_and_describing_people_2
gland,ɣíddi (ɣídad),غِدِّة (غِدد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-234.mp3,the_human_body_and_describing_people_2
thyroid gland,ɣíddi duraqíyyi,غِدِّة دُرقية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-235.mp3,the_human_body_and_describing_people_2
bone,3áɖmi (3ɖām),عضْمِة (عْضام),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-236.mp3,the_human_body_and_describing_people_2
skeleton,hēkal 3áʐmi (hayēkil 3aʐmíyyi),هيْكل عظْمي (هَياكِل عظْمية),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-237.mp3,the_human_body_and_describing_people_2
spine,3āmūd fíqari (3awāmīd fiqaríyyi),عامود فِقري (عواميد فِقرية),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-238.mp3,the_human_body_and_describing_people_2
rib,ɖíli3 (ɖlū3),ضِلِع (ضْلوع),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-239.mp3,the_human_body_and_describing_people_2
muscle,3áɖal,عضل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-240.mp3,the_human_body_and_describing_people_2
vein,warīd (áwridi),وَريد (أَوْرِدِة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-241.mp3,the_human_body_and_describing_people_2
artery,širyēn (šarāyīn),شِرْيان (شرايين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-242.mp3,the_human_body_and_describing_people_2
artery,3íriʔ (3rūʔ),عِرِق (عْروق),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-243.mp3,the_human_body_and_describing_people_2
blood,damm,دمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-244.mp3,the_human_body_and_describing_people_2
nerve,3áʂab (a3ʂāb),عصب (أعْصاب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-245.mp3,the_human_body_and_describing_people_2
"sexual organs, private parts",a3ɖāʔ tanēsulíyyi [pl.],أعْضاء تناسُلية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-246.mp3,the_human_body_and_describing_people_2
"scrotum, testicles",kīs ʂúfun (akyēs aʂfān),كيس صُفُن (أكْياس أصْفان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-247.mp3,the_human_body_and_describing_people_2
"naked, bare",miš lēbis šī,مِش لابِس شي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-248.mp3,the_human_body_and_describing_people_2
"naked, bare",3aryēn,عرْيان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-249.mp3,the_human_body_and_describing_people_2
"buttocks, bottom, posterior",muʔáxxira,مُؤخِّرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-250.mp3,the_human_body_and_describing_people_2
bottom,min wára,مِن وَرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-251.mp3,the_human_body_and_describing_people_2
anus,šarij,شرِج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-252.mp3,the_human_body_and_describing_people_2
to urinate,"tbáwwal, yitbáwwal",تْبوّل، يِتْبوّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-253.mp3,the_human_body_and_describing_people_2
urine,bōl,بوْل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-254.mp3,the_human_body_and_describing_people_2
to pee,3ímil [55] pīpī,عِمِل بيبي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-255.mp3,the_human_body_and_describing_people_2
to defecate,"tbáraz, yitbáraz",تْبرز، يِتْبرز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-256.mp3,the_human_body_and_describing_people_2
"excrement, feces",burāz,بُراز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-257.mp3,the_human_body_and_describing_people_2
"to poo, poop",3ímil [55] kākā,عِمِل كاكا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-258.mp3,the_human_body_and_describing_people_2
to go to the bathroom,rāɧ [55] 3a-ttwālētt,راح عالتْواليْتّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-259.mp3,the_human_body_and_describing_people_2
I need to go to the bathroom.,báddi rūɧ 3a-ttwālētt.,بِدّي روح عالتّْواليْتّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-260.mp3,the_human_body_and_describing_people_2
I need to go to the bathroom.,báddi rūɧ 3a-lɧammēm.,بدّي روح عالحمّام.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-261.mp3,the_human_body_and_describing_people_2
"to pass gas, break wind",ʈálla3 [55] rīɧ,طلّع ريح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-262.mp3,the_human_body_and_describing_people_2
height,ʈūl,طول,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-263.mp3,the_human_body_and_describing_people_2
tall,ʈawīl (ʈwāl),طَويِل (طْوال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-264.mp3,the_human_body_and_describing_people_2
average height,ʈūlu mú3tadil,طولو مُعْتدِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-265.mp3,the_human_body_and_describing_people_2
How tall are you?,ʔaddē ʈūlak?,قدّيْ طولك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-267.mp3,the_human_body_and_describing_people_2
I’m 1.75 meters tall.,ʈūli míyyi u xámsi u sab3īn sánti.,طولي مية وخمْسِة وسبْعين سنْتي.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-268.mp3,the_human_body_and_describing_people_2
weight,wázin (awzēn),وَزِن (أَوْزان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-269.mp3,the_human_body_and_describing_people_2
How much do you weigh?,ʔaddē wáznak?,قدّيْ وَزْنك؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-270.mp3,the_human_body_and_describing_people_2
I weigh 70 kg.,wázni sab3īn kīlu.,وَزْني سبْعين كيلو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-271.mp3,the_human_body_and_describing_people_2
"one’s build, body shape",šákil jísim,شكِل جِسِم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-272.mp3,the_human_body_and_describing_people_2
fat,núʂiɧ (nāʂɧīn),نُصِح (ناصْحين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-273.mp3,the_human_body_and_describing_people_2
fat,ʈúxin (ʈxān),طُخِن (طْخان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-274.mp3,the_human_body_and_describing_people_2
to get fat,"níʂiɧ, yínʂaɧ",نِصِح، يِنْصح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-275.mp3,the_human_body_and_describing_people_2
to get fat,"ʈíxin, yíʈxan",طِخِن، يِطْخن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-276.mp3,the_human_body_and_describing_people_2
Don’t overeat so you don’t get fat.,mā tēkul ktīr ɧátta mā tíʈxan.,ما تاكُل كْتير حتّى ما تِطْخن.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-277.mp3,the_human_body_and_describing_people_2
overweight,wázin fōʔ ilm3áddal,وَزِن فوْق المْعدّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-278.mp3,the_human_body_and_describing_people_2
"chubby, plump, stout",milyēn,مِلْيان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-279.mp3,the_human_body_and_describing_people_2
average weight,wázin ʂúɧɧi,وزِن صُحِّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-280.mp3,the_human_body_and_describing_people_2
thin,rfī3,رْفيع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-281.mp3,the_human_body_and_describing_people_2
skinny,m3áɖɖam,مْعضّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-282.mp3,the_human_body_and_describing_people_2
one’s looks,šáklu,شكْلو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-283.mp3,the_human_body_and_describing_people_2
"good-looking; handsome; beautiful, pretty",ɧílu mráttab,حِلو مْرتّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-284.mp3,the_human_body_and_describing_people_2
cute,nē3im,ناعِم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-285.mp3,the_human_body_and_describing_people_2
"My God, those girls are so cute!",ha-lbanēt šū nē3mīn!,هالْبنات شو ناعْمين!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-286.mp3,the_human_body_and_describing_people_2
ugly,bíši3,بِشِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-287.mp3,the_human_body_and_describing_people_2
average-looking,jamēl 3ādi,جمال عادي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav05-288.mp3,the_human_body_and_describing_people_2
"breast, boob",bizz (bzāz)*,بِزّ (بْزاز),,the_human_body_and_describing_people_2
nipple,ɧálmi*,حلْمِة,,the_human_body_and_describing_people_2
penis,ʔaɖīb (ʔiɖbēn)*,قضيب (قِضْبان),,the_human_body_and_describing_people_2
"dick, cock",zibb (azbēb)*,زِبّ (أزْباب),,the_human_body_and_describing_people_2
"dick, cock",zíbir (azbār)*,زِبِر (أزْبار),,the_human_body_and_describing_people_2
to get an erection,"ntáʂab, yintáʂab*",نْتصب، يِنْتصب,,the_human_body_and_describing_people_2
erection,intiʂāb*,إنْتِصاب,,the_human_body_and_describing_people_2
to get a boner,zíbbu wíʔif* [13],زِبّو وِقِف,,the_human_body_and_describing_people_2
"boner, hard-on",zibb wēʔif*,زِبّ واقِف,,the_human_body_and_describing_people_2
testicle,xíʂyi*,خِصْية,,the_human_body_and_describing_people_2
"balls, nuts (scrotum)",xiʂyitīn* [pl.],خِصْيِتين,,the_human_body_and_describing_people_2
vagina,máhbal (mahēbil)*,مهْبل (مهابِل),,the_human_body_and_describing_people_2
‘girl parts’,máʈraɧ táɧit la-lbanēt*,مطْرح تحِت للْبنات,,the_human_body_and_describing_people_2
pussy,kiss (iksēs)*,كِسّ (إكْساس),,the_human_body_and_describing_people_2
"ass, butt",ʈīz (ʈyēz)*,طيز (طْياز),,the_human_body_and_describing_people_2
ass hole,fátɧit ʈīz*,فتْحِة طيْز,,the_human_body_and_describing_people_2
"to piss, take a piss","šaxx, yšaxx*",شخّ، يْشخّ,,the_human_body_and_describing_people_2
to pee (while standing),"fántar, yfántar*",فنْتر، يِفنْتر,,the_human_body_and_describing_people_2
shit,xára*,خرى,,the_human_body_and_describing_people_2
to fart,"ɖárraʈ, yɖárraʈ*",ضرّط، يْضرّط,,the_human_body_and_describing_people_2
fart,ɖárʈa*,ضرْطة,,the_human_body_and_describing_people_2
"to abandon, desert","hájar, yíhjur",هجر، يِهْجُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-1.mp3,verbs_2
to accept,"ʔíbil, yíʔbal",قِبِل، يِقْبل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-2.mp3,verbs_2
to accompany,"rāɧ ma3, yrūɧ ma3",راح مع، يْروح مع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-3.mp3,verbs_2
to accompany,"ijā ma3, yíji ma3",إجا مع، يِجي مع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-4.mp3,verbs_2
to adjust; fix,"ʐábbaʈ, yʐábbiʈ",ظبّط، يْظبِّط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-5.mp3,verbs_2
to admit,"3táraf, yí3tirif",عْترف، يِعْتِرِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-6.mp3,verbs_2
"to advise, recommend","náʂaɧ, yínʂaɧ",نصح، يِنْصح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-7.mp3,verbs_2
to affect,"ássar 3ála, yʔássir 3ála",أثّر على، يْأثِّر على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-8.mp3,verbs_2
to allow,"xálla, yxálli",خلّا، يْخلّي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-9.mp3,verbs_2
to allow,"sámaɧ, yísmaɧ",سمح، يِسْمح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-10.mp3,verbs_2
"to answer, respond, reply","radd 3ála, yridd 3ála",ردّ على، يْرِدّ على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-11.mp3,verbs_2
"to answer, respond, reply","jēwab 3ála, yjēwib 3ála",جاوَب على، يْجاوِب على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-12.mp3,verbs_2
to apologize for,"3tázar 3ála, yi3tízir 3ála",عْتذر على، يِعْتِذِر على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-13.mp3,verbs_2
to appear,"báyyan, ybáyyin",بيَّن، يْبيِّن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-14.mp3,verbs_2
to appreciate,"ʔáddar, yʔáddir",قدّر، يْقدِّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-15.mp3,verbs_2
to approve of,"wēfaʔ, ywēfiʔ",وافق، يْوافِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-16.mp3,verbs_2
"to arrange, organize","náʐʐam, ynáʐʐim",نظّم، يْنظِّم,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-17.mp3,verbs_2
to ask,"sáʔal, yísʔal",سأل، يِسْأل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-18.mp3,verbs_2
"to attend; watch, view","ɧúɖir, yíɧɖar",حُضِر، يِحْضر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-19.mp3,verbs_2
to be,"kēn, ykūn",كان، يْكون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-20.mp3,verbs_2
"to be able to, can","ʔídir, yíʔdir",قِدِر، يِقْدِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-21.mp3,verbs_2
"to be able to, can","3írif, yá3rif",عِرِف، يَعْرِف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-22.mp3,verbs_2
Can you swim?,btá3rif tísbaɧ?,بْتعْرِف تِسْبح؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-23.mp3,verbs_2
I can’t understand a word you said.,mā fhímit šī min yálli ʔíltu.,ما فْهِمِت شي مِن يَلّي قِلْتو.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-24.mp3,verbs_2
"to become, be; to happen","ʂār, yʂīr",صار، يْصير,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-25.mp3,verbs_2
"to beg, plead","trájja, yitrájja",تْرجّى، يِتْرجّى,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-26.mp3,verbs_2
"to begin, start","bállaš, ybálliš",بلّش، يْبلِّش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-27.mp3,verbs_2
to behave,"tʔáddab, yitʔáddab",تْأدّب، يِتْأدّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-28.mp3,verbs_2
to bet,"rāhan, yrāhin",راهن، يْراهِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-29.mp3,verbs_2
to blame __ for,"lām __ 3ála, ylūm __ 3ála",لام __ على، يْلوم __ على,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-30.mp3,verbs_2
"to bother, disturb","ɖāyaʔ, yɖāyiʔ",ضايَق، يْضايِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-31.mp3,verbs_2
to break,"kásar, yíksur",كسر، يِكْسُر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-32.mp3,verbs_2
"to bring, get","jāb, yjīb",جاب، يْجيب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-33.mp3,verbs_2
to burn,"ɧáraʔ, yíɧruʔ",حرق، يِحْرُق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-34.mp3,verbs_2
to care,"htamm, yihtámm",هْتمّ، يِهْتمّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-35.mp3,verbs_2
"to carry, lift, pick up","ɧímil, yíɧmul",حِمِل، يِحْمُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-36.mp3,verbs_2
She carried the box to the kitchen.,ɧímlit iʂʂandūʔ íla lmáʈbax.,حِمْلِت الصّنْدوق اِلى المطْبخ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-37.mp3,verbs_2
He lifted the child up.,ɧímil ilwálad.,حِمِل الوَلد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-38.mp3,verbs_2
to change (something),"ɣáyyar, yɣáyyir",غيَّر، يْغيِّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-39.mp3,verbs_2
to change (become different),"tɣáyyar, yitɣáyyar",تْغيَّر، يِتْغيَّر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-40.mp3,verbs_2
"to chase, pursue","lāɧaʔ, ylāɧiʔ",لاحق، يْلاحِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-41.mp3,verbs_2
"to cheat, deceive","ɣašš, yɣišš",غشّ، يْغِشّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-42.mp3,verbs_2
"to cheer, encourage","šájja3, yšájji3",شجّع، يْشجِّع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-43.mp3,verbs_2
to choose,"ixtār, yixtār",خْتار، يِخْتار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-44.mp3,verbs_2
"to climb, ascend, go up","ʈúli3, yúʈla3",طُلِع، يِطْلع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-45.mp3,verbs_2
"to close, lock","ʔáfal, yíʔful",قفل، يِقْفُل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-46.mp3,verbs_2
to come,"ijā, yíji",إجا، يِجي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-47.mp3,verbs_2
to compare,"ʔāran, yʔārin",قارن، يْقارِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-48.mp3,verbs_2
to contact,"ttáʂal bi-, yuttúʂil bi-",تّصل بْـ، يُتُّصِل بْـ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-49.mp3,verbs_2
to continue,"kámmal, ykámmil",كمّل، يْكمِّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav55-50.mp3,verbs_2
